"no","start_date","agv","start_time","end_time","path","status"
1,"2019-11-17","agv13","0:27:30","2:15:10","循環路線 : 南車間上空2","Done"
2,"2019-11-17","agv06","0:15:49","2:15:44","循環路線 : 南車間上空1","Done"
3,"2019-11-17","agv13","2:15:31","2:19:55","單程路線 : [""樓層:1,卸貨1""]","Cancel"
4,"2019-11-17","agv06","2:15:59","2:22:29","單程路線 : [""樓層:1,卸貨3""]","Done"
5,"2019-11-17","agv12","2:29:8","2:33:38","循環路線 : 南車間上空2","Cancel"
6,"2019-11-17","agv13","2:20:11","4:12:34","循環路線 : 南車間上空1","Done"
7,"2019-11-17","agv11","0:29:13","4:16:52","循環路線 : 南車間上空1","Done"
8,"2019-11-17","agv11","4:17:8","4:22:2","單程路線 : [""樓層:1,卸貨1""]","Cancel"
9,"2019-11-17","agv10","5:30:33","5:51:10","循環路線 : 北車間上空1","Done"
10,"2019-11-17","agv06","2:22:38","7:10:19","循環路線 : 南車間上空2","Done"
11,"2019-11-17","agv11","4:22:13","4:24:32","循環路線 : 南車間上空1","Cancel"
12,"2019-11-17","agv10","5:51:44","7:24:0","循環路線 : 南車間上空1","Done"
13,"2019-11-17","agv12","4:12:16","21:0:35","循環路線 : 南車間上空2","Done"
14,"2019-11-17","agv11","7:11:44","10:7:17","循環路線 : 南車間上空2","Done"
15,"2019-11-18","agv11","10:7:35","10:11:3","單程路線 : [""樓層:1,卸貨3""]","Cancel"
16,"2019-11-18","agv11","10:11:29","10:35:1","循環路線 : 南車間上空1","Cancel"
17,"2019-11-17","agv10","7:24:12","10:39:1","循環路線 : 南車間上空1","Done"
18,"2019-11-18","agv10","10:39:16","10:41:48","單程路線 : 充電樁5","Cancel"
19,"2019-11-17","agv06","7:10:36","10:44:24","循環路線 : 南車間上空1","Done"
20,"2019-11-18","agv06","10:44:34","11:17:49","循環路線 : 北車間上空2","Done"
21,"2019-11-18","agv11","10:35:12","11:23:3","循環路線 : 北車間上空1","Done"
22,"2019-11-18","agv15","7:58:40","11:26:45","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
23,"2019-11-18","agv11","11:23:19","11:24:54","單程路線 : [""樓層:1,卸貨2""]","Done"
24,"2019-11-17","agv12","21:39:31","11:17:26","循環路線 : 北車間上空2","Done"
25,"2019-11-18","agv14","8:12:8","12:45:29","循環路線 : [""樓層:1,上倉儲1"",""樓層:1,下產線1"",""樓層:1,上產線1"",""樓層:1,下倉儲3""]","Done"
26,"2019-11-18","agv12","12:34:33","13:8:10","循環路線 : 北車間上空1","Cancel"
27,"2019-11-18","agv12","13:8:33","13:12:23","單程路線 : 充電樁10","Done"
28,"2019-11-18","agv02","10:31:52","11:31:8","循環路線 : 产线3","Done"
29,"2019-11-18","agv02","13:19:34","13:44:47","單程路線 : 充電樁4","Done"
30,"2019-11-18","agv12","13:19:19","13:50:53","循環路線 : 北車間上空2","Cancel"
31,"2019-11-18","agv12","13:56:41","14:1:23","循環路線 : 北車間上空2","Cancel"
32,"2019-11-18","agv12","14:9:27","14:10:48","循環路線 : 北車間上空1","Cancel"
33,"2019-11-18","agv12","14:11:4","15:26:33","循環路線 : 南車間上空2","Done"
34,"2019-11-18","agv14","12:45:45","15:47:6","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
35,"2019-11-18","agv06","11:18:2","16:6:12","循環路線 : 北車間上空2","Done"
36,"2019-11-18","agv02","13:45:1","16:26:57","循環路線 : 产线3","Done"
37,"2019-11-18","agv06","16:6:28","16:43:51","循環路線 : 南車間上空2","Done"
38,"2019-11-18","agv01","15:59:4","16:47:39","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Cancel"
39,"2019-11-18","agv02","16:27:3","16:54:44","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
40,"2019-11-17","agv13","4:15:19","16:56:26","循環路線 : 南車間上空1","Done"
41,"2019-11-18","agv13","16:56:34","23:16:35","循環路線 : 南車間上空1","Done"
42,"2019-11-18","agv06","16:44:52","23:24:8","循環路線 : 南車間上空2","Done"
43,"2019-11-18","agv13","23:16:47","0:38:9","循環路線 : 北車間1&7","Done"
44,"2019-11-18","agv11","11:27:22","1:48:6","循環路線 : 南車間上空1","Done"
45,"2019-11-18","agv12","15:26:44","4:33:22","循環路線 : 南車間上空1","Done"
46,"2019-11-19","agv13","0:38:24","4:36:38","循環路線 : 南車間上空1","Done"
47,"2019-11-18","agv06","23:24:18","4:39:26","循環路線 : 南車間上空2","Done"
48,"2019-11-19","agv12","4:33:32","4:37:38","單程路線 : 充電樁10","Done"
49,"2019-11-18","agv01","16:48:0","16:51:59","循環路線 : 产线3","Cancel"
50,"2019-11-19","agv01","8:39:11","8:40:2","循環路線 : 产线3","Cancel"
51,"2019-11-19","agv01","8:40:26","8:42:29","單程路線 : [""樓層:1,下倉儲1""]","Done"
52,"2019-11-19","agv01","8:42:54","9:2:13","循環路線 : 产线3","Cancel"
53,"2019-11-19","agv06","4:39:40","8:39:6","循環路線 : 北車間上空1","Done"
54,"2019-11-19","agv13","4:36:51","4:39:33","循環路線 : 南車間上空1","Cancel"
55,"2019-11-18","agv02","16:56:16","10:4:4","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
56,"2019-11-19","agv06","9:43:36","9:46:29","單程路線 : 起點重置位","Done"
57,"2019-11-19","agv13","9:44:45","10:5:21","單程路線 : 充電樁7","Cancel"
58,"2019-11-19","agv01","9:2:32","10:10:42","循環路線 : 產線5","Done"
59,"2019-11-19","agv11","1:48:19","1:52:21","循環路線 : 南車間上空2","Cancel"
60,"2019-11-18","agv10","10:42:4","12:40:57","單程路線 : 充電樁6","Done"
61,"2019-11-19","agv01","10:11:7","10:43:57","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Cancel"
62,"2019-11-19","agv06","10:4:58","11:17:5","循環路線 : 北車間上空1","Done"
63,"2019-11-19","agv06","11:17:14","11:20:48","循環路線 : 南車間上空1","Cancel"
64,"2019-11-19","agv11","10:31:44","11:35:21","循環路線 : 南車間上空2","Done"
65,"2019-11-19","agv13","10:5:35","11:39:44","循環路線 : 南車間上空1","Done"
66,"2019-11-19","agv12","7:55:19","11:45:11","循環路線 : 南車間上空2","Done"
67,"2019-11-19","agv12","11:46:13","11:48:20","單程路線 : 充電樁4","Cancel"
68,"2019-11-19","agv12","11:49:9","11:50:14","單程路線 : [""樓層:1,下倉儲1""]","Cancel"
69,"2019-11-18","agv14","15:47:13","11:53:46","循環路線 : 产线3","Done"
70,"2019-11-19","agv01","10:44:11","11:54:0","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
71,"2019-11-19","agv12","11:50:34","11:54:56","單程路線 : 充電樁6","Done"
72,"2019-11-19","agv11","11:35:57","11:46:3","單程路線 : 充電樁10","Done"
73,"2019-11-19","agv13","11:40:13","11:44:35","單程路線 : 充電樁7","Done"
74,"2019-11-19","agv06","11:20:56","11:21:28","循環路線 : 南車間上空1","Cancel"
75,"2019-11-19","agv12","12:4:12","12:5:0","循環路線 : 南車間上空2","Cancel"
76,"2019-11-19","agv11","12:11:44","12:58:50","單程路線 : [""樓層:1,卸貨3""]","Done"
77,"2019-11-19","agv11","13:0:5","13:0:16","循環路線 : 南車間上空1","Done"
78,"2019-11-19","agv12","12:59:56","13:34:0","循環路線 : 北車間上空1","Cancel"
79,"2019-11-19","agv06","12:57:22","13:1:30","單程路線 : 充電樁7","Done"
80,"2019-11-19","agv11","13:0:29","14:26:25","循環路線 : 南車間上空2","Done"
81,"2019-11-19","agv10","10:32:8","14:45:16","循環路線 : 南車間上空1","Done"
82,"2019-11-19","agv10","14:45:27","14:53:57","單程路線 : 起點重置位","Done"
83,"2019-11-19","agv13","12:15:27","15:18:7","循環路線 : 南車間上空1","Done"
84,"2019-11-18","agv15","11:26:54","15:42:56","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
85,"2019-11-19","agv15","15:43:51","15:45:2","單程路線 : 充電樁6","Cancel"
86,"2019-11-19","agv13","15:19:52","16:2:17","單程路線 : 充電樁6","Done"
87,"2019-11-19","agv14","11:53:57","16:27:38","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
88,"2019-11-19","agv12","13:34:14","16:28:54","循環路線 : 南車間上空2","Done"
89,"2019-11-19","agv06","14:9:13","16:34:1","循環路線 : 南車間上空1","Done"
90,"2019-11-19","agv11","14:43:36","16:36:43","循環路線 : 南車間上空2","Done"
91,"2019-11-19","agv10","15:14:31","16:41:42","循環路線 : 南車間上空1","Done"
92,"2019-11-19","agv06","16:34:8","21:19:13","循環路線 : 南車間上空1","Done"
93,"2019-11-19","agv06","21:19:24","21:20:21","單程路線 : 起點重置位","Done"
94,"2019-11-19","agv13","16:2:37","23:12:27","循環路線 : 南車間上空1","Done"
95,"2019-11-19","agv11","16:36:51","23:20:57","循環路線 : 南車間上空2","Done"
96,"2019-11-19","agv06","21:28:59","1:0:6","循環路線 : 南車間上空1","Done"
97,"2019-11-19","agv13","23:12:42","3:51:47","循環路線 : 南車間上空2","Done"
98,"2019-11-19","agv10","16:41:48","3:56:21","循環路線 : 南車間上空1","Done"
99,"2019-11-19","agv11","23:21:20","3:58:3","循環路線 : 南車間上空2","Done"
100,"2019-11-19","agv12","16:29:5","3:51:24","循環路線 : 南車間上空1","Done"
101,"2019-11-20","agv12","4:2:13","4:6:4","單程路線 : 充電樁7","Done"
102,"2019-11-19","agv14","16:27:42","8:42:39","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
103,"2019-11-20","agv14","8:42:48","8:46:1","單程路線 : 充電樁4","Cancel"
104,"2019-11-20","agv12","8:8:15","8:18:23","循環路線 : 北車間上空1","Done"
105,"2019-11-20","agv10","3:56:34","9:14:9","循環路線 : 南車間上空1","Done"
106,"2019-11-20","agv06","1:5:46","9:27:48","循環路線 : 南車間上空2","Done"
107,"2019-11-20","agv10","9:14:17","9:28:10","循環路線 : 北車間上空2","Done"
108,"2019-11-20","agv10","9:29:50","9:30:39","單程路線 : 充電樁10","Cancel"
109,"2019-11-20","agv13","3:52:8","3:56:5","循環路線 : 南車間上空2","Cancel"
110,"2019-11-19","agv15","15:45:20","9:46:52","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
111,"2019-11-20","agv15","9:48:48","9:50:17","循環路線 : 产线3","Cancel"
112,"2019-11-19","agv01","11:54:16","11:16:48","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
113,"2019-11-20","agv12","8:48:35","11:17:40","循環路線 : 北車間上空1","Done"
114,"2019-11-20","agv10","9:30:56","11:20:3","循環路線 : 南車間上空2","Done"
115,"2019-11-20","agv06","9:27:58","11:21:37","循環路線 : 南車間上空1","Done"
116,"2019-11-20","agv14","8:46:18","11:17:13","循環路線 : 产线3","Done"
117,"2019-11-20","agv11","3:58:19","4:1:3","循環路線 : 南車間上空1","Cancel"
118,"2019-11-20","agv11","11:25:58","11:28:9","單程路線 : 充電樁8","Cancel"
119,"2019-11-19","agv02","10:4:26","11:11:3","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Done"
120,"2019-11-20","agv11","11:28:17","11:33:12","單程路線 : 充電樁9","Done"
121,"2019-11-20","agv06","11:21:59","11:26:1","單程路線 : 充電樁8","Done"
122,"2019-11-20","agv12","11:18:6","11:21:11","單程路線 : 充電樁6","Done"
123,"2019-11-20","agv10","11:20:18","12:12:52","循環路線 : 北車間上空1","Done"
124,"2019-11-20","agv14","11:25:1","11:43:51","單程路線 : [""樓層:1,下倉儲3""]","Done"
125,"2019-11-20","agv10","12:13:5","12:44:16","循環路線 : 北車間上空1","Done"
126,"2019-11-20","agv12","12:6:46","12:47:45","循環路線 : 南車間上空1","Done"
127,"2019-11-20","agv12","12:47:50","13:25:5","循環路線 : 北車間上空1","Cancel"
128,"2019-11-20","agv12","13:25:17","13:28:31","單程路線 : [""樓層:1,卸貨2""]","Done"
129,"2019-11-20","agv10","12:44:19","13:24:48","循環路線 : 南車間上空1","Done"
130,"2019-11-20","agv10","13:33:16","13:36:40","單程路線 : [""樓層:1,卸貨2""]","Done"
131,"2019-11-20","agv10","13:36:56","14:6:54","循環路線 : 南車間上空2","Done"
132,"2019-11-20","agv10","14:7:27","14:11:35","單程路線 : [""樓層:1,卸貨2""]","Done"
133,"2019-11-20","agv02","11:45:41","14:13:42","循環路線 : [""樓層:1,上倉儲2"",""樓層:1,下產線4"",""樓層:1,上產線4"",""樓層:1,下倉儲2""]","Cancel"
134,"2019-11-20","agv12","13:29:21","14:14:46","循環路線 : 北車間上空1","Done"
135,"2019-11-20","agv14","12:35:7","14:30:27","循環路線 : 产线3","Done"
